죄 종,발생건수,검거건수,"발생대비
검거건수(%)",검거인원,법인체,범죄 분류
절도범죄,"44,061","27,315",62.0,"22,797",2,대분류
특별경제범죄,"12,154","9,690",79.7,"13,781",723,대분류
마약범죄,"1,763","1,676",95.1,"2,213",4,대분류
보건범죄,"2,834","2,680",94.6,"5,688",70,대분류
환경범죄,692,641,92.6,737,262,대분류
교통범죄,"57,158","55,098",96.4,"56,789",616,대분류
노동범죄,121,107,88.4,172,13,대분류
안보범죄,49,23,46.9,95,0,대분류
선거범죄,110,93,84.5,139,0,대분류
병역범죄,"1,988","1,523",76.6,"1,552",6,대분류
기타범죄,"57,770","46,571",80.6,"60,873","1,042",대분류
살인기수,56,56,100.0,59,0,소분류
살인미수등,95,91,95.8,104,0,소분류
강도,147,151,102.7,236,1,소분류
강간,"1,298","1,227",94.5,"1,341",0,소분류
유사강간,223,216,96.9,226,0,소분류
강제추행,"3,800","3,575",94.1,"3,732",0,소분류
기타 강간/강제추행등,42,44,104.8,57,0,소분류
방화,346,301,87.0,300,0,소분류
상해,"5,981","5,798",96.9,"7,275",2,소분류
폭행,"29,976","28,280",94.3,"37,938",1,소분류
체포/감금,242,230,95.0,318,0,소분류
협박,"5,148","4,842",94.1,"5,449",1,소분류
약취/유인,82,72,87.8,95,0,소분류
폭력행위등,"1,744","1,651",94.7,"5,259",0,소분류
공갈,"1,630",628,38.5,851,0,소분류
손괴,"13,273","8,267",62.3,"8,813",7,소분류
직무유기,342,64,18.7,393,2,소분류
직권남용,389,73,18.8,499,1,소분류
증수뢰,83,60,72.3,168,0,소분류
통화,117,11,9.4,19,0,소분류
문서/인장,"2,826","2,036",72.0,"3,269",9,소분류
유가증권인지,19,16,84.2,28,0,소분류
사기,"81,344","43,560",53.6,"42,458",69,소분류
횡령,"15,767","7,024",44.5,"8,143",12,소분류
배임,827,668,80.8,"1,452",6,소분류
성풍속범죄,"5,191","4,262",82.1,"4,638",0,소분류
도박범죄,811,771,95.1,"2,697",0,소분류
강력범죄 (소 계),"6,007","5,661",94.2,"6,055",1,대분류 별 소계
폭력범죄 (소 계),"58,076","49,768",85.7,"65,998",11,대분류 별 소계
지능범죄 (소 계),"101,714","53,512",52.6,"56,429",99,대분류 별 소계
풍속범죄 (소 계),"6,002","5,033",83.9,"7,335",0,대분류 별 소계
총 계,"350,499","259,391",74.0,"300,653","2,849",대분류
